trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
263,False,"{'a': 0.05, 'e': 0.07041924650516153}",25,14,-4.156795557383926,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.05, 'e': 0.06971505404010991}",20,11,17.781248609251513,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.05, 'e': 0.06901790349970881}",25,18,13.513986272837586,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.05, 'e': 0.06832772446471172}",20,6,25.027555672288614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.05, 'e': 0.0676444472200646}",25,11,-20.293400876894257,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.05, 'e': 0.06696800274786396}",20,12,16.375845859700586,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.05, 'e': 0.06629832272038531}",30,11,20.394112850362998,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.05, 'e': 0.06563533949318147}",25,10,-2.7898698177715504,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
271,False,"{'a': 0.05, 'e': 0.06497898609824965}",30,15,28.764337399125765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.05, 'e': 0.06432919623726716}",25,12,26.01020407218493,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.05, 'e': 0.06368590427489448}",30,10,3.741291883244064,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
274,False,"{'a': 0.05, 'e': 0.06304904523214554}",20,8,11.791382715493524,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.05, 'e': 0.06241855477982408}",20,9,21.451787583505677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.05, 'e': 0.06179436923202584}",20,12,12.415719148316015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.05, 'e': 0.06117642553970558}",25,18,13.56783435366849,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.05, 'e': 0.06056466128430853}",30,12,30.82434684235475,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.05, 'e': 0.05995901467146544}",25,20,9.844528190097638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.05, 'e': 0.059359424524750785}",25,9,29.006940677241026,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.05, 'e': 0.05876583027950327}",25,11,25.511232389073243,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.05, 'e': 0.05817817197670824}",20,3,27.72432983767078,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.05, 'e': 0.05759639025694116}",20,12,15.456368239667254,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
