trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
836,False,"{'a': 0.05, 'e': 0.015063246537459054}",25,9,32.33837083386455,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.05, 'e': 0.014987930304771758}",25,15,22.780882787281918,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.05, 'e': 0.0149129906532479}",20,12,14.091931137329976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.05, 'e': 0.01483842569998166}",35,19,29.217413632157196,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.05, 'e': 0.01476423357148175}",25,8,27.984194210211307,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,False,"{'a': 0.05, 'e': 0.014690412403624342}",20,9,20.972204496036518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.05, 'e': 0.01461696034160622}",25,8,28.92683669751254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.05, 'e': 0.01454387553989819}",25,13,24.201946406804044,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.05, 'e': 0.014471156162198698}",20,6,23.715121575175488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.05, 'e': 0.014398800381387704}",20,9,24.287096666891895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.05, 'e': 0.014326806379480765}",20,13,12.022988457882331,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.05, 'e': 0.014255172347583361}",35,14,40.37654258244212,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.05, 'e': 0.014183896485845445}",25,16,15.476782852192422,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.05, 'e': 0.014112977003416217}",20,14,11.974630671771331,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.05, 'e': 0.014042412118399137}",20,0,24.487016536183607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
851,False,"{'a': 0.05, 'e': 0.013972200057807142}",20,10,18.316474677501784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.05, 'e': 0.013902339057518105}",25,7,31.240627370407058,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.05, 'e': 0.013832827362230515}",25,14,20.87481642848873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.05, 'e': 0.013763663225419363}",25,20,8.38554239071956,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.05, 'e': 0.013694844909292266}",35,17,36.30326948651698,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
